Freq[Hz]     dBSPL  Phase[Deg]
5.00000     61.831   123.591
5.07273     61.917   123.556
5.14651     62.044   123.511
5.22137     62.211   123.457
5.29732     62.385   123.405
5.37437     62.561   123.350
5.45254     62.738   123.298
5.53185     62.914   123.246
5.61231     63.091   123.193
5.69394     63.267   123.140
5.77676     63.444   123.086
5.86079     63.620   123.032
5.94604     63.797   122.977
6.03252     63.974   122.922
6.12027     64.150   122.866
6.20929     64.327   122.809
6.29961     64.503   122.752
6.39124     64.680   122.694
6.48420     64.856   122.635
6.57851     65.033   122.575
6.67420     65.209   122.515
6.77128     65.386   122.454
6.86977     65.562   122.392
6.96969     65.739   122.330
7.07107     65.915   122.266
7.17392     66.092   122.202
7.27827     66.268   122.137
7.38413     66.445   122.071
7.49154     66.621   122.004
7.60050     66.798   121.936
7.71105     66.975   121.868
7.82321     67.151   121.798
7.93701     67.328   121.728
8.05245     67.504   121.656
8.16958     67.681   121.584
8.28841     67.857   121.510
8.40896     68.034   121.436
8.53128     68.210   121.361
8.65537     68.387   121.284
8.78126     68.563   121.206
8.90899     68.740   121.128
9.03857     68.916   121.048
9.17004     69.093   120.967
9.30342     69.269   120.885
9.43874     69.446   120.802
9.57603     69.622   120.718
9.71532     69.799   120.633
9.85663     69.976   120.546
10.0000     70.152   120.458
10.1455     70.329   120.370
10.2930     70.505   120.279
10.4427     70.682   120.188
10.5946     70.858   120.095
10.7487     71.035   120.001
10.9051     71.211   119.905
11.0637     71.388   119.808
11.2246     71.564   119.710
11.3879     71.741   119.611
11.5535     71.917   119.510
11.7216     72.094   119.407
11.8921     72.270   119.303
12.0650     72.447   119.198
12.2405     72.623   119.091
12.4186     72.800   118.982
12.5992     72.977   118.872
12.7825     73.153   118.760
12.9684     73.330   118.647
13.1570     73.506   118.532
13.3484     73.683   118.415
13.5426     73.859   118.297
13.7395     74.036   118.177
13.9394     74.212   118.055
14.1421     74.389   117.931
14.3478     74.565   117.805
14.5565     74.742   117.677
14.7683     74.918   117.547
14.9831     75.095   117.415
15.2010     75.271   117.281
15.4221     75.448   117.144
15.6464     75.624   117.005
15.8740     75.801   116.863
16.1049     75.978   116.719
16.3392     76.154   116.572
16.5768     76.331   116.422
16.8179     76.507   116.269
17.0626     76.684   116.112
17.3107     76.860   115.951
17.5625     77.037   115.785
17.8180     77.213   115.614
18.0771     77.390   115.437
18.3401     77.566   115.251
18.6068     77.743   115.055
18.8775     77.919   114.844
19.1521     78.096   114.606
19.4306     78.272   114.336
19.7133     78.444   114.036
20.0000     78.598   113.739
20.2909     78.725   113.504
20.5860     78.842   113.364
20.8855     78.957   113.334
21.1893     79.095   113.402
21.4975     79.258   113.511
21.8102     79.436   113.613
22.1274     79.620   113.682
22.4492     79.806   113.714
22.7758     79.991   113.720
23.1071     80.177   113.713
23.4432     80.363   113.702
23.7841     80.548   113.698
24.1301     80.735   113.707
24.4811     80.925   113.728
24.8372     81.126   113.747
25.1984     81.338   113.750
25.5649     81.553   113.735
25.9368     81.766   113.710
26.3141     81.986   113.665
26.6968     82.221   113.571
27.0851     82.469   113.406
27.4791     82.733   113.134
27.8788     82.987   112.744
28.2843     83.220   112.271
28.6957     83.432   111.760
29.1131     83.627   111.252
29.5365     83.814   110.780
29.9661     84.000   110.351
