Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      3.378    10.623
5.07273      3.379    10.683
5.14651      3.380    10.761
5.22137      3.381    10.867
5.29732      3.382    10.987
5.37437      3.384    11.122
5.45254      3.385    11.259
5.53185      3.387    11.399
5.61231      3.388    11.542
5.69394      3.390    11.688
5.77676      3.392    11.836
5.86079      3.393    11.987
5.94604      3.395    12.141
6.03252      3.397    12.297
6.12027      3.399    12.457
6.20929      3.401    12.619
6.29961      3.403    12.784
6.39124      3.405    12.952
6.48420      3.407    13.122
6.57851      3.409    13.296
6.67420      3.411    13.473
6.77128      3.413    13.654
6.86977      3.415    13.837
6.96969      3.418    14.024
7.07107      3.420    14.213
7.17392      3.422    14.407
7.27827      3.425    14.604
7.38413      3.427    14.804
7.49154      3.430    15.008
7.60050      3.433    15.216
7.71105      3.435    15.427
7.82321      3.438    15.643
7.93701      3.441    15.863
8.05245      3.444    16.087
8.16958      3.447    16.315
8.28841      3.450    16.548
8.40896      3.454    16.785
8.53128      3.457    17.028
8.65537      3.460    17.275
8.78126      3.464    17.528
8.90899      3.467    17.786
9.03857      3.471    18.051
9.17004      3.475    18.321
9.30342      3.479    18.598
9.43874      3.483    18.882
9.57603      3.487    19.172
9.71532      3.491    19.469
9.85663      3.495    19.774
10.0000      3.498    20.093
10.1455      3.501    20.436
10.2930      3.502    20.817
10.4427      3.503    21.266
10.5946      3.503    21.800
10.7487      3.507    22.413
10.9051      3.528    23.034
11.0637      3.573    23.520
11.2246      3.622    23.821
11.3879      3.671    23.939
11.5535      3.699    23.901
11.7216      3.707    23.827
11.8921      3.709    23.814
12.0650      3.709    23.883
12.2405      3.709    24.030
12.4186      3.709    24.235
12.5992      3.709    24.485
12.7825      3.709    24.776
12.9684      3.709    25.107
13.1570      3.709    25.483
13.3484      3.709    25.912
13.5426      3.709    26.420
13.7395      3.710    27.018
13.9394      3.714    27.696
14.1421      3.739    28.374
14.3478      3.788    28.908
14.5565      3.838    29.273
14.7683      3.886    29.480
14.9831      3.910    29.560
15.2010      3.914    29.652
15.4221      3.915    29.845
15.6464      3.915    30.156
15.8740      3.915    30.604
16.1049      3.916    31.173
16.3392      3.923    31.836
16.5768      3.952    32.506
16.8179      4.001    33.064
17.0626      4.051    33.497
17.3107      4.095    33.839
17.5625      4.118    34.141
17.8180      4.125    34.515
18.0771      4.151    34.958
18.3401      4.200    35.348
18.6068      4.250    35.653
18.8775      4.298    35.861
19.1521      4.322    35.998
19.4306      4.326    36.193
19.7133      4.327    36.539
20.0000      4.329    37.048
20.2909      4.339    37.693
20.5860      4.371    38.373
20.8855      4.420    39.003
21.1893      4.470    39.577
21.4975      4.514    40.106
21.8102      4.551    40.599
22.1274      4.595    41.071
22.4492      4.645    41.542
22.7758      4.695    42.023
23.1071      4.731    42.521
23.4432      4.767    43.054
23.7841      4.818    43.605
24.1301      4.871    44.182
24.4811      4.933    44.761
24.8372      4.994    45.290
25.1984      5.048    45.822
25.5649      5.101    46.421
25.9368      5.164    47.060
26.3141      5.233    47.706
