Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -0.365   164.765
5.07273     -0.252   164.748
5.14651     -0.087   164.729
5.22137      0.129   164.709
5.29732      0.356   164.700
5.37437      0.585   164.692
5.45254      0.814   164.689
5.53185      1.044   164.686
5.61231      1.273   164.684
5.69394      1.502   164.683
5.77676      1.732   164.681
5.86079      1.961   164.680
5.94604      2.190   164.679
6.03252      2.420   164.679
6.12027      2.649   164.678
6.20929      2.878   164.678
6.29961      3.108   164.678
6.39124      3.337   164.678
6.48420      3.566   164.678
6.57851      3.796   164.679
6.67420      4.025   164.680
6.77128      4.254   164.680
6.86977      4.484   164.682
6.96969      4.713   164.683
7.07107      4.942   164.684
7.17392      5.172   164.685
7.27827      5.401   164.686
7.38413      5.630   164.688
7.49154      5.860   164.690
7.60050      6.089   164.692
7.71105      6.318   164.694
7.82321      6.548   164.696
7.93701      6.777   164.699
8.05245      7.007   164.701
8.16958      7.236   164.703
8.28841      7.465   164.706
8.40896      7.695   164.709
8.53128      7.924   164.712
8.65537      8.153   164.715
8.78126      8.383   164.718
8.90899      8.612   164.721
9.03857      8.841   164.724
9.17004      9.071   164.728
9.30342      9.300   164.731
9.43874      9.529   164.735
9.57603      9.759   164.739
9.71532      9.988   164.743
9.85663     10.217   164.747
10.0000     10.447   164.751
10.1455     10.676   164.755
10.2930     10.905   164.760
10.4427     11.135   164.764
10.5946     11.364   164.769
10.7487     11.593   164.773
10.9051     11.823   164.778
11.0637     12.052   164.783
11.2246     12.281   164.789
11.3879     12.511   164.794
11.5535     12.740   164.799
11.7216     12.969   164.805
11.8921     13.199   164.811
12.0650     13.428   164.816
12.2405     13.657   164.822
12.4186     13.887   164.828
12.5992     14.116   164.834
12.7825     14.345   164.841
12.9684     14.575   164.847
13.1570     14.804   164.854
13.3484     15.033   164.860
13.5426     15.263   164.867
13.7395     15.492   164.874
13.9394     15.722   164.882
14.1421     15.951   164.889
14.3478     16.180   164.896
14.5565     16.410   164.904
14.7683     16.639   164.911
14.9831     16.868   164.919
15.2010     17.098   164.927
15.4221     17.327   164.935
15.6464     17.556   164.943
15.8740     17.786   164.951
16.1049     18.015   164.959
16.3392     18.244   164.968
16.5768     18.474   164.976
16.8179     18.703   164.985
17.0626     18.932   164.994
17.3107     19.162   165.003
17.5625     19.391   165.012
17.8180     19.620   165.021
18.0771     19.850   165.031
18.3401     20.079   165.040
18.6068     20.308   165.050
18.8775     20.538   165.060
19.1521     20.767   165.071
19.4306     20.996   165.081
19.7133     21.226   165.092
20.0000     21.455   165.102
20.2909     21.684   165.113
20.5860     21.914   165.124
20.8855     22.143   165.135
21.1893     22.372   165.147
21.4975     22.602   165.159
21.8102     22.831   165.171
22.1274     23.060   165.183
22.4492     23.290   165.195
22.7758     23.519   165.207
23.1071     23.749   165.220
23.4432     23.978   165.233
23.7841     24.207   165.246
24.1301     24.437   165.259
24.4811     24.666   165.273
24.8372     24.895   165.287
25.1984     25.125   165.300
25.5649     25.354   165.315
25.9368     25.583   165.329
26.3141     25.813   165.344
26.6968     26.042   165.359
27.0851     26.271   165.374
27.4791     26.501   165.389
27.8788     26.730   165.405
28.2843     26.959   165.421
28.6957     27.189   165.437
29.1131     27.418   165.453
29.5365     27.647   165.470
29.9661     27.877   165.487
30.4020     28.106   165.504
30.8442     28.335   165.521
31.2929     28.565   165.539
31.7480     28.794   165.557
32.2098     29.023   165.575
32.6783     29.253   165.593
33.1536     29.482   165.612
33.6359     29.711   165.631
34.1251     29.941   165.651
34.6215     30.170   165.670
35.1250     30.399   165.690
35.6359     30.629   165.711
36.1543     30.858   165.731
36.6802     31.087   165.752
37.2137     31.317   165.774
37.7550     31.546   165.795
38.3041     31.775   165.817
38.8613     32.005   165.839
39.4265     32.234   165.862
40.0000     32.464   165.885
40.5818     32.693   165.908
41.1721     32.922   165.932
41.7710     33.152   165.956
42.3785     33.381   165.980
42.9949     33.610   166.005
43.6203     33.840   166.030
44.2548     34.069   166.055
44.8985     34.298   166.081
45.5515     34.528   166.107
46.2141     34.757   166.134
46.8863     34.986   166.161
47.5683     35.216   166.189
48.2602     35.445   166.217
48.9621     35.674   166.245
49.6743     35.904   166.274
50.3968     36.133   166.303
51.1299     36.362   166.333
51.8736     36.592   166.363
52.6281     36.821   166.393
53.3936     37.050   166.424
54.1702     37.280   166.456
54.9581     37.509   166.488
55.7575     37.738   166.520
56.5685     37.968   166.553
57.3914     38.197   166.587
58.2261     38.426   166.621
59.0730     38.656   166.655
59.9323     38.885   166.690
60.8040     39.114   166.726
61.6884     39.344   166.762
62.5857     39.573   166.798
63.4960     39.802   166.836
64.4196     40.032   166.873
65.3566     40.261   166.912
66.3073     40.491   166.951
67.2717     40.720   166.990
68.2502     40.949   167.030
69.2429     41.179   167.071
70.2501     41.408   167.112
71.2719     41.637   167.154
72.3086     41.867   167.197
73.3603     42.096   167.240
74.4274     42.325   167.284
75.5099     42.555   167.329
76.6083     42.784   167.374
77.7226     43.013   167.420
78.8531     43.243   167.467
80.0000     43.472   167.514
81.1636     43.701   167.563
82.3442     43.931   167.612
83.5419     44.160   167.661
84.7570     44.389   167.712
85.9899     44.619   167.763
87.2406     44.848   167.815
88.5096     45.077   167.868
89.7970     45.307   167.922
91.1031     45.536   167.976
92.4282     45.765   168.032
93.7726     45.995   168.088
95.1366     46.224   168.145
96.5204     46.453   168.203
97.9243     46.683   168.262
99.3486     46.912   168.322
100.794     47.141   168.383
102.260     47.371   168.444
103.747     47.600   168.507
105.256     47.829   168.571
106.787     48.059   168.636
108.340     48.288   168.702
109.916     48.517   168.769
111.515     48.747   168.837
113.137     48.976   168.906
114.783     49.206   168.976
116.452     49.435   169.047
118.146     49.664   169.120
119.865     49.894   169.193
121.608     50.123   169.268
123.377     50.352   169.344
125.171     50.582   169.422
126.992     50.811   169.500
128.839     51.040   169.580
130.713     51.270   169.661
132.615     51.499   169.744
134.543     51.728   169.828
136.500     51.958   169.913
138.486     52.187   170.000
140.500     52.416   170.088
142.544     52.646   170.178
144.617     52.875   170.269
146.721     53.104   170.362
148.855     53.334   170.457
151.020     53.563   170.553
153.217     53.792   170.651
155.445     54.022   170.750
157.706     54.251   170.851
160.000     54.480   170.954
162.327     54.710   171.059
164.688     54.939   171.166
167.084     55.168   171.274
169.514     55.398   171.385
171.980     55.627   171.497
174.481     55.856   171.612
177.019     56.086   171.728
179.594     56.315   171.847
182.206     56.544   171.968
184.856     56.774   172.091
187.545     57.003   172.216
190.273     57.233   172.344
193.041     57.462   172.474
195.849     57.691   172.607
198.697     57.921   172.742
201.587     58.150   172.880
204.520     58.379   173.020
207.494     58.609   173.164
210.512     58.838   173.310
213.574     59.067   173.458
216.681     59.297   173.610
219.833     59.526   173.765
223.030     59.755   173.923
226.274     59.985   174.084
229.565     60.214   174.249
232.905     60.443   174.417
236.292     60.673   174.588
239.729     60.902   174.763
243.216     61.131   174.941
246.754     61.361   175.124
250.343     61.590   175.310
253.984     61.819   175.500
257.678     62.049   175.695
261.426     62.278   175.894
