Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -64.637   -58.196
5.07273    -64.425   -58.232
5.14651    -64.117   -58.274
5.22137    -63.719   -58.318
5.29732    -63.303   -58.345
5.37437    -62.882   -58.370
5.45254    -62.461   -58.387
5.53185    -62.039   -58.403
5.61231    -61.618   -58.418
5.69394    -61.197   -58.432
5.77676    -60.776   -58.447
5.86079    -60.355   -58.461
5.94604    -59.934   -58.474
6.03252    -59.513   -58.488
6.12027    -59.092   -58.501
6.20929    -58.671   -58.514
6.29961    -58.249   -58.527
6.39124    -57.828   -58.540
6.48420    -57.407   -58.553
6.57851    -56.986   -58.566
6.67420    -56.565   -58.578
6.77128    -56.144   -58.590
6.86977    -55.723   -58.602
6.96969    -55.302   -58.615
7.07107    -54.881   -58.627
7.17392    -54.460   -58.640
7.27827    -54.038   -58.652
7.38413    -53.617   -58.664
7.49154    -53.196   -58.676
7.60050    -52.775   -58.688
7.71105    -52.354   -58.700
7.82321    -51.933   -58.712
7.93701    -51.512   -58.724
8.05245    -51.091   -58.736
8.16958    -50.670   -58.748
8.28841    -50.248   -58.761
8.40896    -49.827   -58.773
8.53128    -49.406   -58.785
8.65537    -48.985   -58.797
8.78126    -48.564   -58.810
8.90899    -48.143   -58.822
9.03857    -47.722   -58.835
9.17004    -47.301   -58.847
9.30342    -46.880   -58.860
9.43874    -46.458   -58.872
9.57603    -46.037   -58.885
9.71532    -45.616   -58.898
9.85663    -45.195   -58.910
10.0000    -44.774   -58.923
10.1455    -44.353   -58.936
10.2930    -43.932   -58.949
10.4427    -43.511   -58.962
10.5946    -43.090   -58.976
10.7487    -42.669   -58.989
10.9051    -42.247   -59.003
11.0637    -41.826   -59.016
11.2246    -41.405   -59.029
11.3879    -40.984   -59.043
11.5535    -40.563   -59.057
11.7216    -40.142   -59.071
11.8921    -39.721   -59.085
12.0650    -39.300   -59.099
12.2405    -38.879   -59.113
12.4186    -38.457   -59.128
12.5992    -38.036   -59.142
12.7825    -37.615   -59.157
12.9684    -37.194   -59.172
13.1570    -36.773   -59.187
13.3484    -36.352   -59.202
13.5426    -35.931   -59.217
13.7395    -35.510   -59.232
13.9394    -35.089   -59.248
14.1421    -34.668   -59.263
14.3478    -34.246   -59.279
14.5565    -33.825   -59.295
14.7683    -33.404   -59.312
14.9831    -32.983   -59.328
15.2010    -32.562   -59.345
15.4221    -32.141   -59.362
15.6464    -31.720   -59.379
15.8740    -31.299   -59.396
16.1049    -30.878   -59.414
16.3392    -30.456   -59.431
16.5768    -30.035   -59.449
16.8179    -29.614   -59.468
17.0626    -29.193   -59.486
17.3107    -28.772   -59.505
17.5625    -28.351   -59.523
17.8180    -27.930   -59.542
18.0771    -27.509   -59.561
18.3401    -27.088   -59.581
18.6068    -26.667   -59.601
18.8775    -26.245   -59.620
19.1521    -25.824   -59.641
19.4306    -25.403   -59.661
19.7133    -24.982   -59.682
20.0000    -24.561   -59.703
20.2909    -24.140   -59.724
20.5860    -23.719   -59.745
20.8855    -23.298   -59.767
21.1893    -22.877   -59.789
21.4975    -22.455   -59.811
21.8102    -22.034   -59.833
22.1274    -21.613   -59.856
22.4492    -21.192   -59.879
22.7758    -20.771   -59.902
23.1071    -20.350   -59.926
