Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      6.263     0.174
5.07273      6.263     0.175
5.14651      6.263     0.176
5.22137      6.263     0.178
5.29732      6.263     0.181
5.37437      6.263     0.183
5.45254      6.263     0.186
5.53185      6.263     0.188
5.61231      6.263     0.191
5.69394      6.263     0.194
5.77676      6.263     0.196
5.86079      6.263     0.199
5.94604      6.263     0.202
6.03252      6.263     0.205
6.12027      6.263     0.208
6.20929      6.263     0.211
6.29961      6.263     0.214
6.39124      6.263     0.217
6.48420      6.263     0.220
6.57851      6.263     0.223
6.67420      6.263     0.226
6.77128      6.263     0.229
6.86977      6.263     0.232
6.96969      6.263     0.236
7.07107      6.263     0.239
7.17392      6.263     0.242
7.27827      6.263     0.246
7.38413      6.263     0.249
7.49154      6.263     0.253
7.60050      6.263     0.256
7.71105      6.263     0.260
7.82321      6.263     0.264
7.93701      6.263     0.268
8.05245      6.263     0.271
8.16958      6.263     0.275
8.28841      6.263     0.279
8.40896      6.263     0.283
8.53128      6.263     0.287
8.65537      6.263     0.291
8.78126      6.263     0.295
8.90899      6.263     0.300
9.03857      6.263     0.304
9.17004      6.263     0.308
9.30342      6.263     0.313
9.43874      6.263     0.317
9.57603      6.264     0.322
9.71532      6.264     0.326
9.85663      6.264     0.331
10.0000      6.264     0.336
10.1455      6.264     0.341
10.2930      6.264     0.345
10.4427      6.264     0.350
10.5946      6.264     0.355
10.7487      6.264     0.360
10.9051      6.264     0.366
11.0637      6.264     0.371
11.2246      6.264     0.376
11.3879      6.264     0.382
11.5535      6.264     0.387
11.7216      6.264     0.393
11.8921      6.264     0.398
12.0650      6.264     0.404
12.2405      6.264     0.410
12.4186      6.264     0.416
12.5992      6.264     0.421
12.7825      6.264     0.428
12.9684      6.264     0.434
13.1570      6.264     0.440
13.3484      6.264     0.446
13.5426      6.264     0.453
13.7395      6.264     0.459
13.9394      6.264     0.466
14.1421      6.264     0.472
14.3478      6.264     0.479
14.5565      6.264     0.486
14.7683      6.265     0.493
14.9831      6.265     0.500
15.2010      6.265     0.507
15.4221      6.265     0.515
15.6464      6.265     0.522
15.8740      6.265     0.530
16.1049      6.265     0.538
16.3392      6.265     0.545
16.5768      6.265     0.553
16.8179      6.265     0.561
17.0626      6.265     0.570
17.3107      6.265     0.578
17.5625      6.265     0.586
17.8180      6.265     0.595
18.0771      6.265     0.604
18.3401      6.265     0.612
18.6068      6.265     0.621
18.8775      6.266     0.630
19.1521      6.266     0.639
19.4306      6.266     0.649
19.7133      6.266     0.658
20.0000      6.266     0.668
20.2909      6.266     0.678
20.5860      6.266     0.687
