Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      6.248     8.491
5.07273      6.250     8.534
5.14651      6.251     8.592
5.22137      6.254     8.670
5.29732      6.256     8.757
5.37437      6.259     8.856
5.45254      6.262     8.957
5.53185      6.265     9.060
5.61231      6.267     9.165
5.69394      6.270     9.272
5.77676      6.273     9.381
5.86079      6.277     9.492
5.94604      6.280     9.604
6.03252      6.283     9.719
6.12027      6.286     9.835
6.20929      6.290     9.954
6.29961      6.294    10.074
6.39124      6.297    10.196
6.48420      6.301    10.320
6.57851      6.305    10.446
6.67420      6.309    10.574
6.77128      6.313    10.705
6.86977      6.317    10.837
6.96969      6.321    10.971
7.07107      6.326    11.107
7.17392      6.330    11.245
7.27827      6.335    11.385
7.38413      6.339    11.528
7.49154      6.344    11.672
7.60050      6.349    11.819
7.71105      6.354    11.967
7.82321      6.360    12.118
7.93701      6.365    12.271
8.05245      6.371    12.426
8.16958      6.376    12.583
8.28841      6.382    12.742
8.40896      6.388    12.903
8.53128      6.394    13.066
8.65537      6.400    13.232
8.78126      6.407    13.399
8.90899      6.414    13.568
9.03857      6.420    13.739
9.17004      6.427    13.912
9.30342      6.434    14.086
9.43874      6.442    14.260
9.57603      6.449    14.433
9.71532      6.457    14.605
9.85663      6.465    14.774
10.0000      6.471    14.943
10.1455      6.475    15.116
10.2930      6.478    15.300
10.4427      6.479    15.501
10.5946      6.479    15.722
10.7487      6.479    15.970
10.9051      6.479    16.246
11.0637      6.479    16.562
11.2246      6.479    16.934
11.3879      6.481    17.366
11.5535      6.494    17.837
11.7216      6.536    18.270
11.8921      6.603    18.578
12.0650      6.670    18.744
12.2405      6.729    18.780
12.4186      6.755    18.727
12.5992      6.760    18.680
12.7825      6.761    18.689
12.9684      6.761    18.758
13.1570      6.761    18.877
13.3484      6.761    19.032
13.5426      6.761    19.214
13.7395      6.761    19.421
13.9394      6.761    19.653
14.1421      6.761    19.908
14.3478      6.761    20.190
14.5565      6.761    20.503
14.7683      6.761    20.852
14.9831      6.761    21.259
15.2010      6.762    21.731
15.4221      6.767    22.261
15.6464      6.802    22.789
15.8740      6.869    23.207
16.1049      6.937    23.498
16.3392      7.003    23.666
16.5768      7.036    23.734
16.8179      7.041    23.807
