Freq[Hz]     dBSPL  Phase[Deg]
5.00000     55.234   152.208
5.07273     55.342   152.151
5.14651     55.501   152.080
5.22137     55.708   151.992
5.29732     55.925   151.904
5.37437     56.145   151.810
5.45254     56.365   151.719
5.53185     56.585   151.627
5.61231     56.804   151.534
5.69394     57.024   151.441
5.77676     57.244   151.346
5.86079     57.464   151.250
5.94604     57.684   151.153
6.03252     57.903   151.055
6.12027     58.123   150.956
6.20929     58.343   150.855
6.29961     58.563   150.753
6.39124     58.783   150.650
6.48420     59.002   150.545
6.57851     59.222   150.439
6.67420     59.442   150.331
6.77128     59.662   150.223
6.86977     59.882   150.112
6.96969     60.102   150.001
7.07107     60.321   149.887
7.17392     60.541   149.772
7.27827     60.761   149.655
7.38413     60.981   149.537
7.49154     61.201   149.417
7.60050     61.420   149.296
7.71105     61.640   149.173
7.82321     61.860   149.048
7.93701     62.080   148.921
8.05245     62.300   148.793
8.16958     62.520   148.663
8.28841     62.739   148.530
8.40896     62.959   148.396
8.53128     63.179   148.261
8.65537     63.399   148.123
8.78126     63.619   147.983
8.90899     63.838   147.841
9.03857     64.058   147.697
9.17004     64.278   147.551
9.30342     64.498   147.403
9.43874     64.718   147.252
9.57603     64.938   147.100
9.71532     65.157   146.945
9.85663     65.377   146.789
10.0000     65.597   146.629
10.1455     65.817   146.468
10.2930     66.037   146.304
10.4427     66.256   146.138
10.5946     66.476   145.969
10.7487     66.696   145.798
10.9051     66.916   145.624
11.0637     67.136   145.448
11.2246     67.356   145.269
11.3879     67.575   145.087
11.5535     67.795   144.903
11.7216     68.015   144.716
11.8921     68.235   144.526
12.0650     68.455   144.333
12.2405     68.674   144.138
12.4186     68.894   143.939
12.5992     69.114   143.738
12.7825     69.334   143.534
12.9684     69.554   143.326
13.1570     69.773   143.115
13.3484     69.993   142.902
13.5426     70.213   142.685
13.7395     70.433   142.464
13.9394     70.653   142.241
14.1421     70.873   142.013
14.3478     71.092   141.783
14.5565     71.312   141.549
14.7683     71.532   141.311
14.9831     71.752   141.069
15.2010     71.972   140.824
15.4221     72.191   140.575
15.6464     72.411   140.322
15.8740     72.631   140.065
16.1049     72.851   139.804
16.3392     73.071   139.539
16.5768     73.291   139.270
16.8179     73.510   138.996
17.0626     73.730   138.719
17.3107     73.950   138.437
17.5625     74.170   138.151
17.8180     74.390   137.860
18.0771     74.609   137.565
18.3401     74.829   137.265
18.6068     75.049   136.961
18.8775     75.269   136.652
19.1521     75.489   136.339
19.4306     75.709   136.021
19.7133     75.928   135.700
20.0000     76.148   135.376
20.2909     76.368   135.047
20.5860     76.589   134.711
20.8855     76.814   134.360
21.1893     77.040   133.993
21.4975     77.257   133.625
21.8102     77.469   133.273
22.1274     77.684   132.929
22.4492     77.908   132.577
22.7758     78.141   132.209
23.1071     78.382   131.799
23.4432     78.608   131.350
23.7841     78.830   130.880
24.1301     79.051   130.392
24.4811     79.263   129.911
24.8372     79.476   129.450
25.1984     79.681   129.004
25.5649     79.888   128.583
25.9368     80.106   128.172
26.3141     80.330   127.753
26.6968     80.560   127.316
27.0851     80.790   126.846
27.4791     81.019   126.345
27.8788     81.251   125.812
28.2843     81.480   125.252
28.6957     81.712   124.662
29.1131     81.945   124.030
29.5365     82.167   123.370
29.9661     82.395   122.677
30.4020     82.622   121.929
30.8442     82.838   121.142
31.2929     83.050   120.325
31.7480     83.249   119.472
32.2098     83.433   118.606
32.6783     83.606   117.757
33.1536     83.758   116.965
33.6359     83.888   116.284
34.1251     84.002   115.762
34.6215     84.125   115.410
35.1250     84.281   115.184
35.6359     84.487   114.986
36.1543     84.741   114.697
36.6802     85.011   114.246
37.2137     85.283   113.614
37.7550     85.533   112.826
38.3041     85.757   111.950
38.8613     85.964   111.042
39.4265     86.157   110.136
40.0000     86.344   109.250
40.5818     86.530   108.384
41.1721     86.716   107.525
41.7710     86.902   106.661
42.3785     87.087   105.780
42.9949     87.272   104.880
43.6203     87.449   103.969
44.2548     87.613   103.069
44.8985     87.770   102.196
45.5515     87.928   101.346
46.2141     88.095   100.507
46.8863     88.273    99.653
47.5683     88.457    98.745
48.2602     88.638    97.774
48.9621     88.808    96.750
49.6743     88.957    95.712
50.3968     89.087    94.702
51.1299     89.206    93.744
51.8736     89.322    92.857
52.6281     89.454    92.018
53.3936     89.595    91.192
54.1702     89.744    90.353
54.9581     89.895    89.484
55.7575     90.039    88.581
56.5685     90.180    87.657
57.3914     90.318    86.719
58.2261     90.449    85.785
59.0730     90.574    84.866
59.9323     90.700    83.949
60.8040     90.831    83.020
61.6884     90.969    82.072
62.5857     91.100    81.104
63.4960     91.217    80.130
