Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      5.903     0.218
5.07273      5.903     0.219
5.14651      5.903     0.221
5.22137      5.903     0.224
5.29732      5.903     0.227
5.37437      5.903     0.230
5.45254      5.903     0.233
5.53185      5.903     0.236
5.61231      5.903     0.240
5.69394      5.903     0.243
5.77676      5.903     0.247
5.86079      5.903     0.250
5.94604      5.903     0.254
6.03252      5.903     0.257
6.12027      5.903     0.261
6.20929      5.903     0.265
6.29961      5.903     0.268
6.39124      5.903     0.272
6.48420      5.903     0.276
6.57851      5.903     0.280
6.67420      5.903     0.284
6.77128      5.903     0.288
6.86977      5.903     0.292
6.96969      5.903     0.296
7.07107      5.903     0.300
7.17392      5.903     0.305
7.27827      5.903     0.309
7.38413      5.903     0.313
7.49154      5.903     0.318
7.60050      5.903     0.322
7.71105      5.904     0.327
7.82321      5.904     0.332
7.93701      5.904     0.336
8.05245      5.904     0.341
8.16958      5.904     0.346
8.28841      5.904     0.351
8.40896      5.904     0.356
8.53128      5.904     0.361
8.65537      5.904     0.366
8.78126      5.904     0.372
8.90899      5.904     0.377
9.03857      5.904     0.382
9.17004      5.904     0.388
9.30342      5.904     0.393
9.43874      5.904     0.399
9.57603      5.904     0.405
9.71532      5.904     0.410
9.85663      5.904     0.416
10.0000      5.904     0.422
10.1455      5.904     0.428
10.2930      5.904     0.434
10.4427      5.904     0.441
10.5946      5.904     0.447
10.7487      5.904     0.453
10.9051      5.904     0.460
11.0637      5.904     0.466
11.2246      5.904     0.473
11.3879      5.904     0.480
11.5535      5.904     0.487
11.7216      5.904     0.494
11.8921      5.904     0.501
12.0650      5.904     0.508
12.2405      5.904     0.515
12.4186      5.904     0.523
12.5992      5.904     0.530
12.7825      5.904     0.538
12.9684      5.904     0.546
13.1570      5.904     0.553
13.3484      5.904     0.561
13.5426      5.905     0.569
13.7395      5.905     0.578
13.9394      5.905     0.586
14.1421      5.905     0.594
14.3478      5.905     0.603
14.5565      5.905     0.611
14.7683      5.905     0.620
14.9831      5.905     0.629
15.2010      5.905     0.638
15.4221      5.905     0.648
15.6464      5.905     0.657
15.8740      5.905     0.667
16.1049      5.905     0.677
16.3392      5.905     0.686
16.5768      5.905     0.697
16.8179      5.905     0.707
17.0626      5.905     0.717
17.3107      5.905     0.728
17.5625      5.906     0.738
17.8180      5.906     0.749
18.0771      5.906     0.760
18.3401      5.906     0.771
18.6068      5.906     0.782
18.8775      5.906     0.794
19.1521      5.906     0.805
19.4306      5.906     0.817
19.7133      5.906     0.829
20.0000      5.906     0.841
20.2909      5.906     0.853
20.5860      5.906     0.866
20.8855      5.906     0.878
21.1893      5.907     0.891
21.4975      5.907     0.904
21.8102      5.907     0.917
22.1274      5.907     0.931
22.4492      5.907     0.944
22.7758      5.907     0.958
23.1071      5.907     0.972
23.4432      5.907     0.986
23.7841      5.907     1.000
24.1301      5.907     1.015
24.4811      5.908     1.030
24.8372      5.908     1.045
25.1984      5.908     1.060
25.5649      5.908     1.075
25.9368      5.908     1.091
26.3141      5.908     1.107
26.6968      5.908     1.123
27.0851      5.909     1.139
27.4791      5.909     1.155
27.8788      5.909     1.172
28.2843      5.909     1.189
28.6957      5.909     1.206
29.1131      5.909     1.224
29.5365      5.910     1.241
29.9661      5.910     1.259
30.4020      5.910     1.278
30.8442      5.910     1.296
31.2929      5.910     1.315
31.7480      5.910     1.334
32.2098      5.911     1.353
32.6783      5.911     1.372
33.1536      5.911     1.392
33.6359      5.911     1.412
34.1251      5.911     1.433
34.6215      5.912     1.453
35.1250      5.912     1.474
35.6359      5.912     1.496
36.1543      5.912     1.517
36.6802      5.913     1.539
37.2137      5.913     1.561
37.7550      5.913     1.583
38.3041      5.913     1.606
38.8613      5.914     1.629
39.4265      5.914     1.653
40.0000      5.914     1.676
40.5818      5.915     1.700
41.1721      5.915     1.725
41.7710      5.915     1.750
42.3785      5.916     1.775
42.9949      5.916     1.800
43.6203      5.916     1.826
44.2548      5.917     1.852
44.8985      5.917     1.879
45.5515      5.917     1.905
46.2141      5.918     1.933
46.8863      5.918     1.960
47.5683      5.918     1.988
48.2602      5.919     2.017
48.9621      5.919     2.045
49.6743      5.920     2.075
50.3968      5.920     2.104
51.1299      5.921     2.134
51.8736      5.921     2.165
52.6281      5.922     2.195
53.3936      5.922     2.227
54.1702      5.923     2.258
54.9581      5.923     2.290
55.7575      5.924     2.323
56.5685      5.924     2.356
57.3914      5.925     2.389
58.2261      5.925     2.423
59.0730      5.926     2.458
59.9323      5.927     2.493
60.8040      5.927     2.528
61.6884      5.928     2.564
62.5857      5.928     2.600
63.4960      5.929     2.637
64.4196      5.930     2.674
65.3566      5.930     2.712
66.3073      5.931     2.750
67.2717      5.932     2.789
68.2502      5.933     2.828
69.2429      5.934     2.868
70.2501      5.934     2.909
71.2719      5.935     2.950
72.3086      5.936     2.991
73.3603      5.937     3.033
74.4274      5.938     3.076
75.5099      5.939     3.119
76.6083      5.940     3.163
77.7226      5.941     3.207
78.8531      5.942     3.252
80.0000      5.943     3.297
81.1636      5.944     3.343
82.3442      5.945     3.390
83.5419      5.946     3.438
84.7570      5.947     3.486
85.9899      5.948     3.534
87.2406      5.949     3.583
88.5096      5.951     3.633
89.7970      5.952     3.684
91.1031      5.953     3.735
92.4282      5.954     3.787
93.7726      5.956     3.839
95.1366      5.957     3.892
96.5204      5.959     3.946
97.9243      5.960     4.001
99.3486      5.962     4.056
100.794      5.963     4.112
102.260      5.965     4.169
103.747      5.966     4.226
105.256      5.968     4.284
106.787      5.970     4.343
108.340      5.971     4.403
109.916      5.973     4.463
111.515      5.975     4.524
113.137      5.977     4.586
114.783      5.979     4.649
116.452      5.981     4.712
118.146      5.983     4.776
119.865      5.985     4.841
121.608      5.987     4.907
123.377      5.989     4.974
125.171      5.992     5.041
126.992      5.994     5.109
128.839      5.996     5.178
130.713      5.999     5.248
132.615      6.001     5.319
134.543      6.004     5.390
136.500      6.007     5.462
138.486      6.009     5.535
140.500      6.012     5.609
142.544      6.015     5.684
144.617      6.018     5.760
146.721      6.021     5.836
148.855      6.024     5.914
151.020      6.027     5.992
153.217      6.031     6.071
155.445      6.034     6.151
157.706      6.038     6.232
160.000      6.041     6.314
162.327      6.045     6.396
164.688      6.048     6.480
167.084      6.052     6.564
169.514      6.056     6.650
171.980      6.060     6.736
174.481      6.064     6.823
177.019      6.069     6.910
179.594      6.073     6.999
182.206      6.077     7.089
184.856      6.082     7.179
187.545      6.087     7.270
190.273      6.092     7.363
193.041      6.097     7.455
195.849      6.102     7.549
198.697      6.107     7.644
201.587      6.112     7.739
204.520      6.118     7.835
207.494      6.123     7.932
210.512      6.129     8.030
213.574      6.135     8.129
216.681      6.141     8.228
219.833      6.148     8.328
223.030      6.154     8.428
226.274      6.161     8.529
229.565      6.167     8.631
232.905      6.174     8.734
236.292      6.182     8.837
239.729      6.189     8.940
243.216      6.196     9.044
246.754      6.204     9.149
250.343      6.212     9.253
253.984      6.220     9.358
257.678      6.229     9.464
261.426      6.237     9.569
265.229      6.246     9.675
269.087      6.255     9.781
273.001      6.264     9.886
276.972      6.274     9.992
281.000      6.284    10.097
285.088      6.294    10.202
289.234      6.304    10.306
293.441      6.315    10.410
297.709      6.325    10.512
302.040      6.336    10.614
306.433      6.348    10.714
310.890      6.360    10.812
315.412      6.372    10.909
320.000      6.384    11.003
324.655      6.397    11.094
329.377      6.410    11.182
334.168      6.423    11.265
339.028      6.437    11.343
343.959      6.451    11.413
348.962      6.465    11.473
354.038      6.480    11.520
359.188      6.494    11.551
364.412      6.507    11.567
369.713      6.516    11.577
375.090      6.522    11.589
380.546      6.524    11.610
386.081      6.524    11.649
391.697      6.524    11.706
397.394      6.524    11.779
403.175      6.524    11.865
409.039      6.524    11.964
414.989      6.524    12.073
421.025      6.524    12.194
427.149      6.524    12.326
433.362      6.524    12.470
439.665      6.524    12.628
446.060      6.524    12.802
452.548      6.524    13.000
459.131      6.525    13.226
465.809      6.527    13.475
472.584      6.538    13.729
479.458      6.566    13.940
486.432      6.591    14.091
493.507      6.613    14.208
500.686      6.635    14.273
507.968      6.620    14.369
515.357      6.607    14.571
522.853      6.618    14.783
530.458      6.621    15.002
538.174      6.650    15.228
546.002      6.675    15.381
553.943      6.679    15.506
562.001      6.680    15.647
570.175      6.680    15.814
578.469      6.680    16.020
586.883      6.680    16.255
595.419      6.680    16.518
604.080      6.680    16.814
612.866      6.680    17.153
621.780      6.680    17.540
630.824      6.684    17.971
640.000      6.704    18.412
649.309      6.741    18.809
658.753      6.778    19.158
668.335      6.814    19.474
678.056      6.832    19.777
687.919      6.838    20.126
697.925      6.857    20.529
708.077      6.895    20.940
718.376      6.933    21.350
728.825      6.977    21.744
739.426      7.020    22.100
750.181      7.061    22.439
761.093      7.101    22.784
772.163      7.151    23.116
783.394      7.202    23.407
794.789      7.242    23.701
806.349      7.280    24.030
818.078      7.301    24.419
829.977      7.323    24.904
842.050      7.364    25.461
854.298      7.421    26.057
866.724      7.511    26.628
879.330      7.605    27.129
892.120      7.685    27.619
905.097      7.765    28.133
918.262      7.848    28.673
931.618      7.946    29.268
945.169      8.077    29.895
958.917      8.233    30.494
972.864      8.407    31.029
987.015      8.625    31.441
1001.37      8.883    31.655
1015.94      9.168    31.630
1030.71      9.473    31.322
1045.71      9.773    30.707
1060.92     10.063    29.799
1076.35     10.345    28.605
1092.00     10.573    27.178
1107.89     10.715    25.635
1124.00     10.752    24.105
1140.35     10.688    22.726
1156.94     10.560    21.632
1173.77     10.410    20.897
1190.84     10.259    20.541
1208.16     10.125    20.545
1225.73     10.030    20.848
1243.56      9.981    21.379
1261.65     10.005    22.037
1280.00     10.099    22.686
1298.62     10.235    23.259
1317.51     10.413    23.712
1336.67     10.612    24.010
1356.11     10.830    24.156
1375.84     11.083    24.125
1395.85     11.361    23.878
1416.15     11.651    23.410
1436.75     11.910    22.783
1457.65     12.083    22.163
1478.85     12.175    21.725
1500.36     12.259    21.546
1522.19     12.469    21.529
1544.33     12.888    21.403
1566.79     13.498    20.865
1589.58     14.211    19.686
1612.70     14.892    17.823
1636.16     15.493    15.376
1659.95     15.993    12.457
1684.10     16.334     9.205
1708.60     16.510     5.764
1733.45     16.514     2.216
1758.66     16.319    -1.322
1784.24     15.955    -4.715
1810.19     15.445    -7.863
1836.52     14.807   -10.672
1863.24     14.099   -13.049
1890.34     13.359   -14.928
1917.83     12.635   -16.277
1945.73     11.945   -17.100
1974.03     11.323   -17.437
2002.74     10.790   -17.378
2031.87     10.348   -17.033
2061.43      9.981   -16.506
2091.41      9.662   -15.865
2121.83      9.370   -15.123
2152.69      9.116   -14.297
2184.01      8.893   -13.398
2215.77      8.711   -12.437
2248.00      8.569   -11.477
2280.70      8.452   -10.561
2313.87      8.353    -9.693
2347.53      8.275    -8.890
2381.68      8.197    -8.150
2416.32      8.139    -7.484
2451.46      8.087    -6.908
2487.12      8.037    -6.403
2523.30      7.979    -5.949
2560.00      7.902    -5.508
2597.24      7.821    -5.047
2635.01      7.739    -4.544
2673.34      7.670    -4.003
2712.23      7.601    -3.438
2751.68      7.522    -2.816
2791.70      7.442    -2.112
2832.31      7.375    -1.341
2873.50      7.326    -0.529
2915.30      7.305     0.266
2957.70      7.301     0.981
3000.72      7.297     1.596
3044.37      7.278     2.154
3088.65      7.241     2.724
3133.58      7.204     3.335
3179.16      7.167     3.995
3225.40      7.149     4.698
3272.31      7.146     5.390
3319.91      7.146     6.044
3368.20      7.146     6.659
3417.19      7.146     7.241
3466.89      7.146     7.804
3517.32      7.146     8.351
3568.48      7.146     8.888
